"Website","Webbplats"
"Refund Shipping (Incl. Tax)","Återköpsfrakt (inkl. moms)"
"Refund Amount","Återköpsbelopp"
"Refund Offline","Återköp nedkopplat"
"Refund #%s","Återköp #%s"
"Refund #","Återköp #"
"Refunds","Återköp"
"Refund","Återköp"
"Return to Stock","Återför till lager"
"Refund Shipping","Återbetalningsfrakt"
"Refund Shipping (Excl. Tax)","Återbetalning frakt (ex. moms)"
"Shipping Refund","Återbetalning av Fraktkostnad"
"Refunded amount of %s online.","Återbetald beloppet på %s online."
"Wishlist","Önskelista"
"%s order(s) were not released from holding status.","%s ordrar har inte släppts från håll-kvar status."
"%s order(s) were not put on hold.","%s order(-ar) har inte parkerats."
"%s for %s","%s för %s"
"%s order(s) cannot be canceled","%s beställning(ar) kan inte makuleras"
"%s order(s) have been released from holding status.","%s beställning(ar) har släppts från sin håll-kvar status."
"%s order(s) have been canceled.","%s beställning(ar) har makulerats."
"%s order(s) have been put on hold.","%s beställning(ar) hålls kvar."
"Order was placed using %s","%s användes för att lägga beställningen"
"%s / %s rate:","%s / %s sats:"
"%s","%s"
"* - Enter custom price including tax","* - Ange anpassat pris inklusive moms"
"* - Enter custom price excluding tax","* - Ange anpassat pris exklusive moms"
"""%s"" coupon code is not valid.","""%s"" kupongkod är inte giltig."
"-- Please Select Billing Agreement--","-- Var god välj faktureringsavtal --"
"-- Please Select --","-- Vänlige välj --"
"N/A","-"
"Order Statuses", "Order statusar"
"The order status has been saved.", "Orderstatusen har sparats."
"Assign Status to State", "Tilldela status till state"
"Create New Status", "Skapa ny status"
"Status Code", "Statuskod"
"Default Status", "Standard status"
"State Code [State Title]", "Statuskod [statustitel]"
"Unassign", "Avtilldela"
"The order status has been unassigned.", "Orderstatusen har blivit avtilldelad."
"Edit Order Status", "Ändra orderstatus"
"Save Status", "Spara status"
"Order Status Information", "Orderstatus information"
"Save Status Assignment", "Spara statustilldelning"
"Assign Order Status to State", "Tilldela orderstatus till state"
"Assignment Information", "Tilldelningsinformation"
"Use Order Status As Default", "Använd orderstatus som default"
"The order status has been assigned.", "Orderstatusen har blivit tilldelad."
"Submit Invoice", "Skapa faktura"
"Update Qty's", "Uppdatera antal"
"Update Qty&#039;s", "Uppdatera antal"
"New Credit Memo for Order #%s", "Ny kreditfaktura för order #%s"
"PDF Customiser by Icommerce", "PDF Customiser"
