"# of Use","# d'ús"
"%1$s incl tax.","%1$s taxes incloses"
"%s - %s","%s - %s"
"%s Item(s)","%s Article(s)"
"Total incl. Tax: %1$s","Total inclòs impostos: %1$s"
"Total Qty Base Items","Total quantitat base"
"ALL GROUPS","TOTS ELS GRUPS"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tots els productes seran eliminats. Esteu segur que voleu eliminar els atributs?"
"All Product Types","Tots els tipus de productes"
"Remove","Treu"
"Remove This Item","Treu aquest article"
"Remove Product","Treu producte"
"Total of %d record(s) were successfully updated","Un total de %d registre(s) han estat actualitzats amb èxit"
"Total of %d record(s) were successfully deleted","Un total de %d registre(s) han estat eliminats amb èxit"
"Url","URL"
"Redirect URL","URL de redireccionament"
"Use In Search Results Layered Navigation","Utilitza els resultats de la cerca en la capa de navegació"
"Use JavaScript Calendar","Utilitza Javascript calendari"
"Use Flat Catalog Product","Utilitza producte catàleg extès"
"Use Tree Like Category Sitemap","Utilitzar l'arbre de categories mapa web"
"Use Flat Catalog Category","Utiliza categoria catàleg extesa"
"Input Validation for Store Owner","Validació d'entrada per al propietari de la botiga"
"Unique Value","Valor únic"
"Unique Value (not shared with other products)","Valor únic (no compartit amb altres productes)"
"Default value","Valor per defecte"
"Products per Page on List default value","Valor per defecte productes per pàgina en llista"
"Products per Page on Grid default value","Valor per defecte productes per pàgina en quadrícula"
"Default Values","Valors per defecte"
"Values Required","Valors requerits"
"Cross-sells","Vendes creuades"
"Up-sells","Vendes suggerides "
"Go to Home Page","Ves a la pàgina d'inici"
"View as","Veure com"
"Visibility","Visibilitat"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible a les pàgines del catàleg en la part pública"
"Store View","Vista de botiga"
"Are you sure you would like to remove this item from the compare products?","Voleu eliminar aquest element dels productes a comparar?"
"Are you sure you want to delete this category?","Voleu eliminar aquesta categoria?"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"[GLOBAL]","[GLOBAL]"
