"Points","Puntos"
"This value cannot be less than or equal to zero.","Este valor no puede ser menor o igual a cero."
"All Sweet Tooth rules and settings were imported successfully.","Todas las reglas y ajustes de Sweet Tooth se han importado con &eacute;xito"
"Spend one point less","Gasta un punto menos"
"Spend one point more","Gasta un punto m&aacute;s"
"Updating Points Information...","Actualizando la informaci&oacute;n de los puntos..."
"Fixed Amount","Cantidad fija"
"Change # Points Spent","Cambia # Puntos Gastados"
"Updating Total...","Actualizando el total..."
"Choose # of Points to Spend","Elige # de puntos para gastar"
"Spending:","Gastando:"
"Earning:","Ganando:"
"Change Points Usage","Cambia el uso de los puntos"
"Click here to change points spent on this order.","Haz Clic aqu&iacute; para cambiar los puntos gastados en este pedido."
"Pay for shipping with points","Paga el env&iacute;o con puntos"
"Sweet Tooth - Points Expiry Notice","Sweet Tooth - Aviso de caducidad de los puntos"
"Can customers begin to redeem points before they log-in?  They will eventually have to log-in to complete their order either way.","¿Pueden los clientes comenzar a canjear puntos antes de iniciar sesi&oacute;n? De todos modos tendr&aacute;n que iniciar sesi&oacute;n para completar su pedido."
"Customer Account Summary Message","Mensaje de resumen de La cuenta del cliente"
"This is the message that the customer sees when logged in in the summary box.  Default is no message (blank).  HTML is valid here.","Este es el mensaje que el cliente ve cuando est&aacute; conectado en el cuadro de resumen. El valor predeterminado es ning&uacute;n mensaje (en blanco). HTML es v&aacute;lido aqu&iacute;."
"Show Send Points To A Friend","Mostrar Enviar Puntos a un Amigo"
"Should the customer be given the option to send points to a friend in the customer account panel rewards section?","¿Se le da al cliente la opci&oacute;n de enviar los puntos a un amigo en el panel de la cuenta del cliente, secci&oacute;n recompensas?"
"Show Mini Redemption Catalog","Mostrar Mini Cat&aacute;logo de canjeo"
"Should the mini redemption catalog in the customer account panel rewards section?","¿Mostrar Mini Cat&aacute;logo de canjeo en panel de la cuenta del cliente, secci&oacute;n recompensas?"
"Show Points Optimizer","Mostrar optimizador de puntos"
"Show the 'as low as XXX with YYY points' message for each applicable product in the catalog product view pages?  This will only show if you have catalog redemption rules present that apply to a particular product.","¿Mostrar el mensaje 'por s&oacute;lo XXX, con puntos de YYY' para cada producto aplicable, en las p&aacute;ginas de vista del cat&aacute;logo de productos? Esto s&oacute;lo se mostrar&aacute; si tienes reglas de canjeo de cat&aacute;logo presente que se aplican a un producto en particular."
"Show the earning graphic in catalog listing","Mostrar el gr&aacute;fico de ganancias en el listado del cat&aacute;logo"
"Expired points balance transfer","Transferencia del saldo de los puntos Caducados"
"Points Balance Expiry","Caducidad del Balance de puntos"
"Enable points balance expiry","Habilitar la caducidad del saldo de puntos"
"Number of days before points balance expires","N&uacute;mero de d&iacute;as antes de la caducidad del saldo de puntos"
"Number of days before first warning e-mail","N&uacute;mero de d&iacute;as antes de la primera advertencia por correo electr&oacute;nico"
"E-mail template for first warning e-mail","Plantilla de correo para la primera advertencia por correo electr&oacute;nico"
"Number of days before second warning e-mail","N&uacute;mero de d&iacute;as antes de la segunda advertencia por correo electr&oacute;nico"
"E-mail template for second warning e-mail","Plantilla de correo para la segunda advertencia por correo electr&oacute;nico"
"Write expiry actions to log","Escribir las acciones de caducidad al registro"
"Writes to var/log/rewards_expire.log when points expire for any customer or when an e-mail is sent","Escribe a var/log/rewards_expire.log cuando los puntos de cualquier cliente caduquen o cuando un correo electr&oacute;nico es enviado"
"The account was innactive for %s so the usable points balance expired.","La cuenta estuvo innactiva por %s por lo que el saldo de puntos utilizables ha expirado."
"This will export point currencies, rules and Sweet Tooth configuration.","Esta acci&oacute;n exportar&aacute; las divisas de puntos, las reglas y la configuraci&oacute;n de Sweet Tooth."
"Import Campaign","Importar la campa&ntilde;a."
"WARNING: THIS WILL ALSO DELETE ALL YOUR SWEET TOOTH RULES!  Select a .stcampaign file and click 'Save Config' to import.","¡ADVERTENCIA: ESTO TAMBI&eacute;N ELIMINAR&aacute; TODAS LAS REGLAS DE SWEET TOOTH! Seleccione un archivo .stcampaign y haga clic en "Guardar configuraci&oacute;n" para importar."
"Delete Campaign","Borrar la campa&ntilde;a"
"Deletes all Sweet Tooth rules","Elimina todas las reglas de Sweet Tooth"
"Migrated from old system.","Migrado desde el sistema antiguo."
"%s Off","%s Menos"
"Shopping cart rules can discount shipping","Las reglas del carrito de la compra pueden descontar el env&iacute;o"
"For any shopping cart points rules, can the customer use points to receive a discount on shipping?  This does not affect the FREE SHIPPING option fixed points rules.","Para cualquiera de las reglas de puntos del carrito de compra ¿Puede el cliente utilizar los puntos para recibir un descuento en el env&iacute;o? Esto no afecta a la opci&oacute;n de ENVIO GRATIS de las normas de puntos fijos"
"%s%%","%s%%"
"If enabled, customers will only be rewarded shopping cart distribution rule points based on the subtotal after any applied redemptions or discounts.","Si se habilita, los clientes s&oacute;lo ser&aacute;n recompensados con puntos de la regla de distribuci&oacute;n del carrito de compra basados en el subtotal despu&eacute;s de haberse aplicado cualquier reembolsos o descuentos."
"Give shopping cart distribution points based on subtotal after discount","Dar puntos de distribuci&oacute;n del carrito de compra basado en el subtotal despu&eacute;s de descuento"
"Top Earners","Los que m&aacute;s ganan"
"Points Balance","Saldo de los puntos"
"Coupon","Cup&oacute;n"
"Uses per Coupon","Usos por cup&oacute;n"
"The Points Amount (X) field must be greater than zero (0).  If you don","El campo de la cantidad de Puntos (X) debe ser mayor que cero (0). Si no"
"No customer identifier in CSV file. Please check the contents of the file.","No hay identificador de cliente en el archivo CSV. Por favor, compruebe el contenido del archivo."
"No identifier for \"points_amount\" in CSV file. Please check the contents of the file.","No hay identificador para \"points_amount\" en el archivo CSV. Por favor, compruebe el contenido del archivo."
"Error on line","Error en la l&iacute;nea"
"Customer with email","El cliente con el correo electr&oacute;nico"
"was not found in website with id #","con ID # no se encontr&oacute; en el sitio web"
"Customer with id #","El cliente con ID #"
"was not found.","no se encontr&oacute;."
"Points transferred from CSV file","Puntos transferidos desde el archivo CSV"
"Points were imported with the following errors:","Los puntos fueron importados con los siguientes errores:"
"No identifier for \",No identifier for \"","Ning&uacute;n identificador para \",Ning&uacute;n identificador para \""
"You are trying to redeem more points than you have in your balance.  You will not be able to checkout.","Est&aacute;s tratando de canjear m&aacute;s puntos de los que tienes en tu balance. No podr&aacute;s realizar el pedido."
"Points were imported successfully.","Los puntos fueron importados con &eacute;xito."
"Percentage amount discount for whole cart","La cantidad de Porcentaje de descuento para el total del carrito de compras"
"Apply to Shipping Amount","Aplicar al importe del env&iacute;o"
"Not supported for ","No es compatible con "
"Negative Point Balances Allowed","Se admiten Punto de saldos negativos"
"Disable Earnings When Points Used In Catalog","Desactivar las ganancias cuando los puntos son utilizados en el cat&aacute;logo"
"Disable Earnings When Points Used In Cart","Desactivar las ganancias cuando los puntos son utilizados en el carrito de compras"
"Friend's Email:","Correo electr&oacute;nico de tu amigo/a:"
"Labels","Etiquetas"
"Default Label","Etiqueta por defecto"
"Default Rule Label for All Store Views","Etiqueta por defecto de Reglas para todas las vistas de la tienda"
"Store View Specific Labels","Etiquetas de una Vista de Tienda espec&iacute;fica"
"Customer Behavior Points Rules","Reglas de Puntos por conducta del cliente"
"Add New Customer Behavior Rule","A&ntilde;adir una nueva Regla de Puntos por conducta del cliente"
"Unable to apply rules.","No se pudo aplicar las reglas"
"Customer Behavior Rule","Regla de conducta del cliente"
"Date is on or after...","La fecha es en o despu&eacute;s..."
"Date is before...","La fecha es antes..."
"The following errors occured while trying to install the module.","Los siguientes errores se produjeron al intentar instalar el m&oacute;dulo."
"If any of these problems were unexpected, I recommend that you contact the module support team to avoid problems in the future.","Si alguno de estos problemas fueron inesperados, le recomiendo que se comunique con el equipo de soporte del m&oacute;dulo para evitar problemas en el futuro."
"For every Y amount spent, deduct X points [in development]","Por cada Y cantidad gastados, deducir X puntos [en desarrollo]"
"For every Z qty purchased, deduct X points [in development]","Por cada Z cantidad comprado, deducir X puntos [en desarrollo]"
"Item totals are not set for rule.","Los totales dell art&iacute;culo no se han establecido para ninguna regla."
"Your logged in session may have expired.  An item was not selected or the item selected was invalid","El estado de Tu conexi&oacute;n puede haber expirado. Un art&iacute;culo no se ha seleccionado o el art&iacute;culo seleccionado no es v&aacute;lido"
"Your session has expired.  Please refresh the page.","Tu sesi&oacute;n ha expirado. Por favor, actualiza la p&aacute;gina haciendo click en la tecla F5."
"The cache storage has been flushed.","La memoria cach&eacute; se ha vaciado"
"Re-install Database","Vuelva a instalar la base de datos"
"You may need to refresh the shopping cart to checkout.","Puede que tengas que actualizar el carrito de compras para realizar el pedido."
"Visit My Points & Rewards Section","Visita la secci&oacute;n de Mis Puntos y Premios"
"You overspent your point balance.  Continue anyways?","Has gastado tu saldo de puntos. ¿Quieres continuar de todas formas?"
"You will need to login to use your points.  Continue anyways?","Deber&aacute;s iniciar sesi&oacute;n para utilizar tus puntos. ¿Quieres continuar de todas formas?"
"(Before Catalog Disc.)","(Antes del desc. del cat&aacute;logo)"
"Action to take once conditions are satisfied","Acci&oacute;n a tomar una vez que las condiciones se cumplan"
"Customer behavior","Conducta del cliente"
"Customer Group Is","El Grupo de clientes es"
"Date is on or After","La fecha es en o despu&eacute;s"
"Date is Before","La fecha es antes"
"Discount Style","Estilo de descuento"
"Buy X get Y free (discount amount is Y) [in development]","Compra X consigue Y gratis (el importe del descuento es Y) [en desarrollo]"
"Maximum Qty Discount is Applied to (only for ","La cantidad m&aacute;xima de descuento se aplica a (s&oacute;lo para "
"Discount Qty Step (Buy X, only for ","La cantidad de descuento, Paso (Compra X s&oacute;lo para "
"This feature has been temporarily disabled for this version of Sweet Tooth in ensure quality.  It will be re-enabled in the next release of Sweet Tooth.","Esta funci&oacute;n se ha desactivado temporalmente para esta versi&oacute;n de Sweet Tooth para asegurar la calidad. Se habilitar&aacute; de nuevo en la pr&oacute;xima versi&oacute;n de Sweet Tooth."
"For items matching the conditions below","Para art&iacute;culos que coinciden con las siguientes condiciones"
"For the whole cart","Para todo el carrito de compras"
"Apply Additional Discount","Aplicar descuento adicional"
"Apply the rule actions only to cart items matching the following conditions (leave blank for all items)","Aplicar las acciones de la regla, s&oacute;lo a los art&iacute;culos en el carrito de compras que cumplan las siguientes condiciones (dejar en blanco para todos los art&iacute;culos)"
"Customer redeems the following points","El cliente canjea los siguientes puntos"
"Customer Spends","El cliente gasta"
"Maximum Redeemable Points","El m&aacute;ximo de puntos canjeables"
"Customer Earning Style","Estilo de ganancia del cliente"
"Maximum Distributed Points (0 for unlimited)","El m&aacute;ximo de puntos distribuidos (0 para ilimitado)"
"Writes a review","Escribe una opini&oacute;n"
"Did you know that you can customize your Sweet Tooth points currency from the theme as well in more detail?","¿Sab&iacute;as que puedes personalizar la divisa de los puntos Sweet Tooth a partir del tema, en m&aacute;s detalle?"
"Sign Up for Our Newsletter:","Suscr&iacute;bete a nuestro Newsletter:"
"Run ","Ejecutar "
"Referred Customer","Cliente Apadrinado"
"Invalid status: %s","Estado no v&aacute;lido: %s"
"Exception hit while building report","Una excepci&oacute;n ha aparecido mientras se creaba el informe"
"Street Address %s","Direcci&oacute;n/Calle %s"
"Check database","Compruebe la base de datos"
"Check Sweet Tooth database for required tables and columns","Compruebe que la base de datos de Sweet Tooth contenga las tablas y columnas requeridas"
"Table %s found","Tabla %s encontrada"
"Table %s is missing","Tabla %s no se encuentra"
"Table %s has column %s","Tabla %s contiene columna %s"
"Table %s is missing column %s","Tabla %s no contiene columna %s"
"Check template files","Revise los archivos de plantilla"
"Check required template files are found","Revise los archivos de plantilla se encuentran"
"Found: %s","Encontrado: %s"
"Missing %s","Faltan %s"
"Error","Error"
"Magento Cache","Cach&eacute; de Magento"
"Status of magento cache","Estado del cach&eacute; de magento"
"Cache is disabled on: %s","Memoria cach&eacute; est&aacute; deshabilitada en: %s"
"Cache should be disabled while making changes to the system","Memoria cach&eacute; debe desactivarse mientras hace cambios en el sistema"
"Magento compiler","Compilador de Magento"
"Status of magento compiler","Estado del compilador de Magento"
"Magento compiler is disabled","El compilador de Magento est&aacute; desactivado"
"Magento compiler is enabled","El compilador de Magento est&aacute; activado"
"Cron","Cron"
"Check cron is running scheduled tasks","Comprobar que el cron ejecuta las tareas programadas"
"Cron timestamp: [%s], current timestamp: [%s]","Cron timestamp: [%s], current timestamp: [%s]"
"Check crontab has: */5 * * * * /bin/sh /[magento_path]/cron.sh","Check crontab has: */5 * * * * /bin/sh /[magento_path]/cron.sh"
"Magento filesystem","Magento filesystem"
"Check that Magento has read/write on filesystem","Check that Magento has read/write on filesystem"
"Seems accessable %s","Parece accesible %s"
"Check filesystem access on %s","Comprobar el acceso del sistema de ficheros en %s"
"Not accessable %s","Inaccesible %s"
"More then 50 none accessable files... skipping test","M&aacute;s de 50 archivos no accesibles ... omitiendo la prueba"
"Magento Indexer","Magento Indexer"
"List module information","Lista la informaci&oacute;n del m&oacute;dulo"
"You should reindex {$processes->indexer_code}","Debes reindexar{$processes->indexer_code}"
"Check PHP core","Compruebe n&uacute;cleo PHP"
"Check PHP is a supported version and settings will not cause issues","Compruebe que PHP es una versi&oacute;n compatible y que la configuraci&oacute;n no cause problemas"
"PHP version >= 5.2.13, you have: %s","PHP version >= 5.2.13, tienes: %s"
"Magento supports PHP 5.2.13 or newer. You have: %s","Magento es compatible con PHP 5.2.13 o m&aacute;s reciente. Tienes: %s"
"Safe mode is off","Modo seguro est&aacute; off"
"Safe mode is on","Modo seguro est&aacute; on"
"Check PHP extensions","Compruebe las extensiones de PHP"
"Check PHP has required extension","Compruebe que PHP tiene la extensi&oacute;n requerida"
"PHP does not have problematic extension %s","PHP no tiene extensi&oacute;n problem&aacute;tica %s"
"PHP has problematic extension %s. This extension was reported to cause issues when misconfigured","PHP tiene una extensi&oacute;n problem&aacute;tica %s. Esta extensi&oacute;n fue reportada al causar problemas cuando est&aacute; configurado incorrectamente"
"PHP has required extension %s","PHP tiene la extensi&oacute;n requerida%s"
"Magento requires the PHP extension %s","Magento requiere la extensi&oacute;n de PHP %s"
"PHP does not have Suhosin compiled in","PHP no tiene Suhosin compilado en"
"Suhosin can prevent some needed functions from running (eval, and other basic php functions)","Suhosin puede prevenir algunas de las funciones necesarias al funcionamiento (eval, y otras funciones php b&aacute;sicas)"
"filesystem might need to be: chown [user]:[group], chmod -R u=rwx,g=rx,o=rx ./[magento]/","es posible que el sistema de archivos deba ser: chown [user]:[group], chmod -R u=rwx,g=rx,o=rx ./[magento]/"
"PHP does not look to be using suphp","PHP no parece estar utilizando suphp"
"PHP does not look to be using suexec","PHP no parece estar utilizando suexec"
"Now","Ahora"
"Problem accessing server, please check your internet connection.","Problema de acceso al servidor compruebe su conexi&oacute;n a Internet."
"Check extensions for rewrite conflicts","Compruebe las extensiones por conflictos de reescritura"
"No extension conflict found","No se ha encontrado ning&uacute;n conflicto de extensiones"
"Magento - Module output information","Magento - Informaci&oacute;n de salida del m&oacute;dulo"
"Module output information - Note disabeling output does not disable the module","Informaci&oacute;n de salida del m&oacute;dulo - Tenga en cuenta que desactivando la informaci&oacute;n de salida, no se desactiva el m&oacute;dulo"
"Module output is set to disabled however the module might still be active","Informaci&oacute;n de salida del m&oacute;dulo est&aacute; definida como Desactivada, sin embargo, el m&oacute;dulo todav&iacute;a podr&iacute;a estar activo"
"Module output is enabled on: %s","Informaci&oacute;n de salida del m&oacute;dulo est&aacute; activa en: %s"
"Magento - List module information","Magento - Proporcionar la informaci&oacute;n de m&oacute;dulo"
"Magento version %s","Magento versi&oacute;n %s"
"Your point transactions are currently on hold, they can be approved after we process your order.","Tus transacciones de puntos est&aacute;n en espera, pueden ser aprovadas despu&eacute;s de procesar tu pedido."
"Magento compiler has no compiled files","Magento compilador no ha compilado los archivos"
"Magento compiler might be enabled, you have %s compiled files","Magento compilador puede estar activado, tienes %s archivos compilados"
"Memory limit looks to be >= 256MB, PHP reports: %s","El l&iacute;mite de memoria parece ser de > = 256MB, informes PHP: %s"
"When the memory limit is to low the PHP process can crash and prevent pages from loading","Cuando el l&iacute;mite de memoria es demasiado bajo, el proceso de PHP pueden colgarse y evitar que las p&aacute;ginas se carguen"
"Max execution time is >= 3600 seconds (1hour) PHP reports: %s seconds","Tiempo m&aacute;ximo de ejecuci&oacute;n es de > = 3600 segundos (1 hora) Informes de PHP: segundos %s"
"Some tasks might require more time to complete and will not finish.  This is offen seen as a timeout message","Algunas tareas pueden requerir m&aacute;s tiempo para completar y no terminar&aacute;n. Esto a menudo aparece como un mensaje de espera"
"cURL functions are enabled and cURL is installed.","Funciones cURL est&aacute;n activadas y cURL est&aacute; instalado."
"cURL is installed on the server, however the curl_exec function is blocked or not available.","cURL est&aacute; instalado en el servidor, sin embargo la funci&oacute;n curl_exec est&aacute; bloqueada o no disponible."
"cURL is NOT installed on the server.","cURL no est&aacute; instalado en el servidor."
"PHP has problematic extension APC. This extension was reported to cause issues when misconfigured","PHP tiene una extensi&oacute;n APC problem&aacute;tica. Esta extensi&oacute;n fue reportada al causar problemas por estar configurada incorrectamente"
"When APC stat is set off, the system will not recheck files for changes and will continue to use cached values","Cuando la estad&iacute;stica APC est&aacute; desactivada, el sistema no se vuelva a revisar cambios en los archivos y seguir&aacute; utilizando los valores almacenados en cach&eacute;"
"Check PHP for Suhosin","Comprobar que PHP contenga Suhosin"
"Check if PHP has Suhosin running. Suhosin can prevent some needed functions from running","Comprobar si PHP tiene Suhosin en funcionamiento. Suhosin puede prevenir el funcionamiento de algunas de las funciones necesarias"
"PHP does not have problematic extension Suhosin","PHP no tiene la problem&aacute;tica extensi&oacute;n Suhosin"
"Magento suggested Suhosin configuration ontop of the default values: %s","Magento ha sugerido la configuraci&oacute;n Suhosin por encima de los valores por defecto: %s"
"Suhosin is not compiled directly into the PHP binarie","Suhosin no se ha compilado en el binario de PHP"
"Check if PHP is run under a [Switch User] ","Comprobar si PHP se ejecuta en un [Cambio de usuario] "
"System admins often times run PHP as a different user for extra protection","Los administradores de sistemas a menudo ejecutan PHP como un usuario diferente para una mayor protecci&oacute;n"
"Test skipped. Test requires Magento 1.4+ , you have : %s","Prueba omitida. Prueba requiere Magento 1.4 +, usted tiene : %s"
"Magento compiler test skipped","prueba del compilador de Magento omitida"
"Magento configuration defaults","Valores de configuraci&oacute;n predeterminados De Magento"
"Check configuration defaults for settings that aid in reducing issues","Verificar en los valores predeterminados de configuraci&oacute;n, valores que puedan ayudar a reducir problemas"
"Template hints defaults to off","Sugerencias de plantilla por defecto en OFF"
"this should be set to disabled on live stors","esto se deber&iacute;a establecer como desactivado en las tiendas en vivo"
"Template hints blocks defaults to off","Sugerencias de los bloques de plantilla apagadas por defecto"
"Logging defaults to on","Iniciar sessi&oacute;n tiene su valor por defecto en ON"
"logging should be enabled by default","Iniciar sessi&oacute;n deber&iacute;a estar Habilitado por defecto"
"This option is risky because one JavaScript error will cause the remaining scripts to be skipped.","Esta opci&oacute;n es arriesgada ya que un error de JavaScript har&aacute; que el resto del script sea omitido."
"Merge Javascript files defaults to off","La opci&oacute;n de combinaci&oacute;n de los archivos Javascript est&aacute; desactivada por defecto"
"This option is risky because one CSS error can cause the remaining CSS to be skipped.","Esta opci&oacute;n es arriesgada ya que un error en el CSS puede hacer que el resto del CSS sea omitido."
"Merge CSS files defaults to off","La opci&oacute;n de combinaci&oacute;n de los archivos CSS est&aacute; por defecto apagada"
"Get help with rule priorities.","Obtener ayuda con las prioridades de la regla."
"Check modules for rewrite conflicts","Verificar m&oacute;dulos para conflictos de reescritura"
":: Possible solution ::",":: Posible soluci&oacute;n ::"
"backup and open: ","crear copia de seguridad y abrir: "
"change: ","cambiar: "
"to: ","a: "
"remove rewrite on: ","eliminar reescritura on: "
"Test!","Test!"
"Grand Total Excl. Tax","Total Excl. impuesto"
"Grand Total Incl. Tax","Total Incl. impuesto"
"Get help with the Stop Further Rules Processing flag.","Obtener ayuda con la bandera de Parada de m&aacute;s reglas de procesamiento."
"More than 50 none accessable files... skipping test","M&aacute;s de 50 archivos no accesibles ... omitiendo prueba"
"Max execution time is >= 3600 seconds (1 hour) PHP reports: %s seconds","Tiempo m&aacute;ximo de ejecuci&oacute;n es de > = 3600 segundos (1 hora) Informes de PHP: segundos %s"
"Some tasks can require more time to complete and will not finish.  This is offen seen as a timeout message.","Algunas tareas pueden requerir m&aacute;s tiempo para completar y no terminar&aacute;n. Esto a menudo aparece como un mensaje de espera."
"Possible solution","Posible soluci&oacute;n"
"1. backup and open: ","1. crear copia de seguridad y abrir: "
"2. change class extends\n","2. change class extends\n"
"    |-from: ","    |-de: "
"    |-to  : ","    |-a  : "
"3. backup and open: ","3. crear copia de seguridad y abrir: "
"4. change rewrite: ","4. cambio de reescritura: "
"5. backup and open: ","5. crear copia de seguridad y abrir: "
"    |-add depends: ","    |-a&ntilde;adir dependencia: "
"If you had created a customer account, you would have earned points for this order.","Si hubieras creado una cuenta de cliente, habr&iacute;as ganado puntos para este pedido."
"You could earn up to %s when your referral makes their first order.","Podr&iacute;as ganar hasta %s cuando tu apadrinado hace su primer pedido."
"You could earn up to %s when your referral signs up.","Podr&iacute;as ganar hasta %s cuando tu apadrinado se registra."
"Send Invitations To","Env&iacute;a Invitaciones a"
